"CBSA Code","CBSA","# Days with AQI","Good","Moderate","Unhealthy for Sensitive Groups","Unhealthy","Very Unhealthy","AQI Maximum","AQI 90th Percentile","AQI Median","# Days CO","# Days NO2","# Days O3","# Days SO2","# Days PM2.5","# Days PM10"
"24540","Greeley, CO","366","284","80","2",".",".","104","64","40","20",".","294",".","50","2"
"24580","Green Bay, WI","366","212","145","9",".",".","143","75","47",".",".","86","77","203","."
"24660","Greensboro-High Point, NC","366","177","179","9","1",".","159","74","51",".",".","84",".","282","."
"24780","Greenville, NC","261","177","79","4","1",".","178","71","43",".",".","173",".","88","."
"24860","Greenville-Mauldin-Easley, SC","366","140","219","7",".",".","127","77","54",".","5","91",".","270","."
"24980","Grenada, MS","115","78","37",".",".",".","80","59","41",".",".",".",".","115","."
"25020","Guayama, PR","366","362","4",".",".",".","91","24","6",".",".",".","254","70","42"
"25060","Gulfport-Biloxi, MS","325","196","124","5",".",".","135","67","45",".",".","91",".","234","."
"25180","Hagerstown-Martinsburg, MD-WV","265","168","93","4",".",".","122","77","43",".",".","161",".","104","."
"25220","Hammond, LA","117","78","39",".",".",".","73","61","38",".",".",".",".","117","."
"25260","Hanford-Corcoran, CA","366","78","211","59","17","1","204","132","72",".",".","161",".","162","43"
"25340","Harriman, TN","62","62",".",".",".",".","50","42","25",".",".",".",".","1","61"
"25420","Harrisburg-Carlisle, PA","366","174","176","16",".",".","150","85","51.5",".","10","88","17","251","."
"25460","Harrison, AR","366","327","39",".",".",".","79","51","36",".",".","324",".","42","."
"25500","Harrisonburg, VA","366","306","60",".",".",".","89","58","34",".","106","171","3","86","."
"25540","Hartford-West Hartford-East Hartford, CT","366","253","103","10",".",".","147","71","40","8","44","129",".","185","."
"25620","Hattiesburg, MS","120","63","57",".",".",".","99","71","49",".",".",".",".","120","."
"25740","Helena, MT","364","321","40","3",".",".","138","52","26",".",".",".",".","357","7"
"25760","Helena-West Helena, AR","117","79","38",".",".",".","90","65","42",".",".",".",".","117","."
"25860","Hickory-Lenoir-Morganton, NC","366","153","209","4",".",".","122","76","54",".",".","63",".","303","."
"25900","Hilo, HI","366","1","15","85","252","13","259","200","197.5",".",".",".","365","1","."
"26020","Hobbs, NM","364","313","51",".",".",".","83","54","39",".","38","266",".","58","2"
"26100","Holland-Grand Haven, MI","355","232","122","1",".",".","106","70","38",".",".",".",".","355","."
"26140","Homosassa Springs, FL","122","107","15",".",".",".","76","52","33",".",".",".",".","122","."
"26180","Honolulu, HI","366","355","11",".",".",".","98","35","22",".","11","155","18","64","118"
"26300","Hot Springs, AR","113","70","43",".",".",".","80","66","41",".",".",".",".","113","."
"26340","Houghton, MI","118","112","6",".",".",".","94","38","12",".",".",".",".","118","."
"26380","Houma-Bayou Cane-Thibodaux, LA","346","242","103","1",".",".","106","62","42",".",".","160",".","186","."
"26420","Houston-Sugar Land-Baytown, TX","366","83","250","30","3",".","177","100","61","1","22","92","26","201","24"
"26540","Huntington, IN","184","178","6",".",".",".","67","47","36",".",".","184",".",".","."
"26580","Huntington-Ashland, WV-KY-OH","366","176","181","9",".",".","142","80","52",".","13","106","65","181","1"
"26620","Huntsville, AL","366","192","172","2",".",".","122","69","48.5",".",".","120",".","246","."
"26820","Idaho Falls, ID","114","110","4",".",".",".","59","43","21",".",".",".",".","114","."
"26860","Indiana, PA","365","275","79","11",".",".","119","74","37",".","38","164","163",".","."
"26900","Indianapolis-Carmel, IN","366","110","237","19",".",".","132","92","59",".","4","69","78","215","."
"26980","Iowa City, IA","348","234","112","2",".",".","120","65","38",".",".",".",".","342","6"
"27020","Iron Mountain, MI-WI","211","202","9",".",".",".","74","46","34",".",".","211",".",".","."
"27140","Jackson, MS","361","219","142",".",".",".","93","66","45",".",".","37",".","324","."
"27180","Jackson, TN","50","50",".",".",".",".","38","21.5","14",".",".",".",".",".","50"
"27220","Jackson, WY-ID","366","343","23",".",".",".","77","48","38","3",".","348",".","13","2"
"27260","Jacksonville, FL","366","219","137","10",".",".","132","67","46.5",".","6","83","34","237","6"
"27460","Jamestown-Dunkirk-Fredonia, NY","366","302","58","6",".",".","132","64","38",".",".","301","31","34","."
"27500","Janesville, WI","199","180","19",".",".",".","77","50","38",".",".","199",".",".","."
"27540","Jasper, IN","285","140","145",".",".",".","92","71","51",".",".",".",".","285","."
"27780","Johnstown, PA","366","256","106","4",".",".","109","67","41","1","61","103","90","99","12"
"27900","Joplin, MO","365","351","14",".",".",".","93","40","19",".",".",".",".",".","365"
"27940","Juneau, AK","278","237","39","2",".",".","114","59","17",".",".",".",".","271","7"
"27980","Kahului-Wailuku, HI","346","339","7",".",".",".","62","31","18",".",".",".",".","83","263"
"28020","Kalamazoo-Portage, MI","118","71","47",".",".",".","86","68","41",".",".",".",".","118","."
"28060","Kalispell, MT","366","276","90",".",".",".","81","62","40.5","2",".","160",".","173","31"
"28140","Kansas City, MO-KS","366","123","203","37","3",".","175","103","57",".","19","65","93","176","13"
"28300","Keene, NH","290","225","63","2",".",".","120","65","36",".",".","171",".","119","."
"28420","Kennewick-Richland-Pasco, WA","366","304","62",".",".",".","82","57","28",".",".",".",".","314","52"
"28700","Kingsport-Bristol-Bristol, TN-VA","366","150","146","67","3",".","175","111","58",".","28","98","213","27","."
"28740","Kingston, NY","366","351","14","1",".",".","122","44","31",".",".","361","5",".","."
"28780","Kingsville, TX","339","239","100",".",".",".","100","65","39",".",".","15",".","324","."
"28820","Kinston, NC","257","189","66","2",".",".","109","67","41",".",".","170",".","87","."
"28900","Klamath Falls, OR","364","165","164","30","5",".","161","98","53",".",".",".",".","364","."
"28940","Knoxville, TN","366","112","174","70","10",".","175","118","66",".",".","156","179","24","7"
"29020","Kokomo, IN","102","66","36",".",".",".","100","69","43.5",".",".",".",".","102","."
"29060","Laconia, NH","214","202","12",".",".",".","87","47","34",".",".","175",".","39","."
"29100","La Crosse, WI-MN","325","273","50","2",".",".","122","59","36",".",".","242",".","83","."
"29140","Lafayette, IN","356","200","153","3",".",".","131","69","46",".",".","60",".","296","."
"29180","Lafayette, LA","366","304","59","3",".",".","122","61","34",".",".","299",".","67","."
"29260","La Grande, OR","365","298","67",".",".",".","85","57","29",".",".",".",".","364","1"
"29340","Lake Charles, LA","366","229","134","2","1",".","156","68","44",".",".","141","15","210","."
"29380","Lake City, FL","365","210","155",".",".",".","93","64","48",".",".","73",".","292","."
"29420","Lake Havasu City-Kingman, AZ","117","99","18",".",".",".","70","54","22",".",".",".",".","87","30"
"29460","Lakeland, FL","366","285","78","3",".",".","106","58","40",".",".","146",".","220","."
"29540","Lancaster, PA","366","254","99","13",".",".","134","75","41","1","49","157","64","86","9"
"29620","Lansing-East Lansing, MI","122","83","39",".",".",".","81","66","38",".",".",".",".","122","."
"29660","Laramie, WY","362","301","60","1",".",".","113","57","27",".",".",".",".",".","362"
"29700","Laredo, TX","366","242","121","3",".",".","144","66","43",".",".","53",".","298","15"
"29740","Las Cruces, NM","366","144","184","26","5","7","420","101","54.5",".","8","130",".","107","121"
